город,название,тип,широта,долгота,координаты,статус,источники,фото
Киев,Заброшенная трасса мотокросса,заброшенный объект,50.498333,30.571111,"50.498333, 30.571111",заброшено,https://wikimapia.org/27914713/ru/Заброшенная-трасса-мотокросса,реальные фото искать в источнике
Киев,Заброшенный автодром,заброшенный объект,50.442778,30.575000,"50.442778, 30.575000",заброшено,https://wikimapia.org/34340002/ru/Заброшенный-автодром,реальные фото искать в источнике
Киев,Заброшенное здание,заброшенное здание,50.513333,30.486111,"50.513333, 30.486111",заброшено,https://wikimapia.org/30702950/ru/Заброшенное-здание,реальные фото искать в источнике
Киев,Бывший глиняный карьер,карьер,50.487222,30.156944,"50.487222, 30.156944",не используется,https://wikimapia.org/18587520/ru/Бывший-глиняный-карьер,реальные фото искать в источнике
Киев,Заброшенный цех №2 Киевского радиопередающего центра,руины промышленного объекта,50.491111,30.693889,"50.491111, 30.693889",закрыт в 1996,https://wikimapia.org/19250983/ru/Заброшенный-цех-№-2-Киевского-радиопередающего-центра,реальные фото искать в источнике
Киев,Отрадный проспект 73,заброшенное здание,50.427500,30.430278,"50.427500, 30.430278",заброшено,https://wikimapia.org/24251959/ru/Отрадный-просп-73,реальные фото искать в источнике
Киев,Заброшенная АЗС,исчезнувший/заброшенный объект,50.490278,30.384444,"50.490278, 30.384444",исторический слой,https://wikimapia.org/11190447/ru/Заброшенная-АЗС,реальные фото искать в источнике
Киев,ДОТ №434,военное сооружение/руины,50.478333,30.269167,"50.478333, 30.269167",разрушен,https://wikimapia.org/4475319/ru/ДОТ-№-434,реальные фото искать в источнике
Киев,Заброшенное здание Княжичи,заброшенное здание,50.468611,30.827222,"50.468611, 30.827222",заброшено,https://wikimapia.org/41483418/ru/Заброшенное-здание,реальные фото искать в источнике
Первомайск,Руины технической территории ракетно-технической базы,руины бывшего военного объекта,48.106111,30.879167,"48.106111, 30.879167",руины,https://wikimapia.org/32955030/ru/Руины-технической-территории-ракетно-технической-базы,реальные фото искать в источнике
Первомайск,Бывшее военное городок 6-Т,бывший военный городок,47.971861,30.867394,"47.971861, 30.867394",бывший объект,https://lektsii.org/6-100247.html,фото не подтверждены
Первомайск,Бывшее военное городок северо-западнее Ивановки,бывший военный городок,47.897489,31.019597,"47.897489, 31.019597",бывший объект,https://lektsii.org/6-100247.html,фото не подтверждены
Первомайск,Бывшее военное городок Підгородна,бывший военный городок,48.107000,30.881697,"48.107000, 30.881697",бывший объект,https://lektsii.org/6-100247.html,фото не подтверждены
Первомайск,Отстойники бывшего сахарного завода,промышленный объект,47.993322,30.819500,"47.993322, 30.819500",бывший объект,https://lektsii.org/6-100247.html,фото не подтверждены
Первомайск,Первомайский гранитно-щебневый карьер,карьер,48.025124,30.768174,"48.025124, 30.768174",объект требует проверки статуса,https://www.airsoftorg.com/en-us/game/2692,реальные фото на странице источника
Первомайск,Верхняя Лозоватка,ликвидированный населённый пункт,,,координаты требуют отдельного подтверждения,ликвидировано в 1980-х,https://ru.wikipedia.org/wiki/Первомайский_район_(Николаевская_область),фото не подтверждены
Первомайск,Илларионовка,ликвидированный населённый пункт,,,координаты требуют отдельного подтверждения,ликвидировано в 1980-х,https://ru.wikipedia.org/wiki/Первомайский_район_(Николаевская_область),фото не подтверждены
Первомайск,Забары,ликвидированный населённый пункт,47.974900,30.806220,"47.974900, 30.806220",ликвидировано в 1980-х,https://www.geonames.org/advanced-search.html?fuzzy=0.6&q=zabr&startRow=100,реальные фото искать отдельно
Первомайск,Запорожье,ликвидированный населённый пункт,,,координаты требуют отдельного подтверждения,ликвидировано в 1980-х,https://ru.wikipedia.org/wiki/Первомайский_район_(Николаевская_область),фото не подтверждены
Первомайск,Калиновка,ликвидированный населённый пункт,,,координаты требуют отдельного подтверждения,ликвидировано в 1970-х,https://ru.wikipedia.org/wiki/Первомайский_район_(Николаевская_область),фото не подтверждены
Первомайск,Сметана,ликвидированный населённый пункт,,,координаты требуют отдельного подтверждения,ликвидировано в 1970-х,https://ru.wikipedia.org/wiki/Первомайский_район_(Николаевская_область),фото не подтверждены
Первомайск,Старые Кошары,населённый пункт из исторического списка,47.850000,30.800000,"47.850000, 30.800000",историческое/проверить статус,https://www.komandirovka.ru/cities/old_kosharya/,реальные фото искать отдельно
